	corr	p2tailed	p2tailed_adj	p2tailed_adj_bool	all_criteria_met
ACAN	0.055490489957072134	0.3134312630698226		False	False
ACAT1	0.14160527847721482	0.009781185285865144		True	True
ACBD4	0.31964054894233074	2.5344969700949205e-09		True	True
ACBD5	0.261967973485665	1.2979447340274055e-06		True	True
ACBD7	0.35855099088786085	1.6543588233194472e-11		True	True
ACCS	0.047807963420543276	0.3852226185367108		False	False
ACCSL	-0.010920267093713076	0.8428634057806854		False	False
ACD	0.4255438387574943	4.918860426534107e-16		True	True
ACE	-0.09665170838377969	0.07865311332389793		False	False
ACER1	0.19649262909143494	0.0003158529889965374		True	True
ACER2	0.07242706555481729	0.1880277108815777		False	False
ACMSD	0.025867028287657082	0.6386260702976915		False	False
ACOT6	-0.0025729579237399984	0.9627485178855613		False	False
ACOT7	0.22479991952910347	3.5708016800818445e-05		True	True
ACOT9	0.16550793709863848	0.0024845666178543065		True	True
ACP5	0.183235512357107	0.0007949038757600006		True	True
ACPT	0.06621745998725058	0.2288563673501989		False	False
ACRC	0.07041489470398428	0.20062587565199952		False	False
ACSBG2	-0.030778018933565524	0.5762849246844829		False	False
ACSL3	0.0921968210027398	0.09351434429498412		False	False
ACSL6	0.0847516329118168	0.12326859879380396		False	False
ACSM1	0.21682349244389718	6.796536360958164e-05		True	True
ACSM2A	0.17210352341202945	0.0016463585112422507		True	True
ACSM2B	0.13152820547873187	0.016487319604234992		True	True
ACSM3	0.1771272315747672	0.001191519736213236		True	True
ACSM4	0.023692876276529117	0.6670960427985134		False	False
ACSS1	0.14445224996368486	0.008390033003529068		True	True
ACTA1	0.24875422687483492	4.480765978188369e-06		True	True
ACTA2	0.035045304837574676	0.5245529033247984		False	False
ACTB	0.22138502388162865	4.717131573726801e-05		True	True
ACTBL2	0.04879652847324006	0.3754614043758886		False	False
ACTL6A	0.38697313108032133	2.647797476043934e-13		True	True
ACTL7A	0.03138653530573939	0.5687635856810623		False	False
ACTL7B	0.01616146959228688	0.7692282653518561		False	False
ACTL8	0.03505817428046256	0.524400545046622		False	False
ACTL9	0.13186909994337598	0.016207227928196243		True	True
ACTN3	0.14534041758439653	0.007993644873789446		True	True
ACTR10	0.2506977617816843	3.7502224783942804e-06		True	True
ACTR1A	0.5408457761645076	1.2870689065666018e-26		True	True
ACTR5	0.36167658967159716	1.0707031198504473e-11		True	True
ACTRT1	0.001221185006794429	0.9823146328500894		False	False
ACVR1B	0.23188736335315852	1.976199608139929e-05		True	True
ACVR1C	0.14885987579300552	0.006582057421377537		True	True
ACY1	0.21044243609344968	0.00011185105535299356		True	True
ACYP1	0.22556942039035902	3.3516734357478455e-05		True	True
ADA	0.39227190631419456	1.170455129416337e-13		True	True
ADAD1	0.008501586754394512	0.8773536223493434		False	False
ADAD2	-0.049274617476224636	0.37079575242417473		False	False
ADAL	0.10667276825585355	0.05215118714056504		False	False
ADAM11	0.05199590979557644	0.3449262861506084		False	False
ADAM17	0.3342751326370087	4.145106084784837e-10		True	True
ADAM18	0.07209834392748517	0.19004513052280658		False	False
ADAM20	0.2241212946618803	3.775223960397682e-05		True	True
ADAM21	-0.06472345320140228	0.23955369590989545		False	False
ADAM21P1	-0.04174401786637634	0.4484066970571351		False	False
ADAM23	-0.027780337632845868	0.6140013368037047		False	False
ADAM29	0.031074596388709092	0.5726133557872712		False	False
ADAM30	0.051054863425333094	0.35373953384944445		False	False
ADAM7	0.026300867507952224	0.6330062758695707		False	False
ADAM8	0.06644388028832408	0.22726517578679042		False	False
ADAMDEC1	-0.07192808912901204	0.19109623074912468		False	False
ADAMTS1	0.05433002015042458	0.3236742449743185		False	False
ADAMTS4	-0.0452766014395381	0.4109123079564745		False	False
ADAMTS7	-0.0008668679684993625	0.9874453926017674		False	False
ADAMTS8	0.027860198350321844	0.6129826173947504		False	False
ADAMTSL2	0.014433917344985036	0.7933058560235893		False	False
ADAMTSL3	-0.010044652647467038	0.8553185813995039		False	False
ADAMTSL4	0.037558435269849214	0.4952346192091591		False	False
ADAMTSL5	0.08475325632311025	0.12326139024472961		False	False
ADAT1	0.3443070244055947	1.1324162348011025e-10		True	True
ADAT2	0.07606037773225144	0.16676832669437813		False	False
ADAT3	0.21083890455003695	0.00010848863943275505		True	True
ADCK2	0.35114691315003965	4.550827196924626e-11		True	True
ADCK4	0.3394124919279634	2.1452394995852306e-10		True	True
ADCY4	0.05349678621798066	0.3311612624779037		False	False
ADCY6	0.01956852924443898	0.7224061998112442		False	False
ADCY7	0.1739597583513791	0.0014624229731633658		True	True
ADCYAP1	0.03048689094336784	0.5798997484864516		False	False
ADCYAP1R1	-0.020886290519339115	0.7045598838461569		False	False
ADD2	0.30994095139651195	7.98541166787431e-09		True	True
ADH1A	0.10582824886776733	0.05405162219237076		False	False
ADH1B	0.10904516349647822	0.047108040025950725		False	False
ADH1C	0.126183786175687	0.021464893058711902		True	True
ADH4	0.0029644826881769577	0.9570850772032162		False	False
ADH5	0.3271262105220742	1.016004895349911e-09		True	True
ADH6	0.09962935179368575	0.06983187247270872		False	False
ADH7	0.08927573127652184	0.10442065956666405		False	False
ADI1	0.259173233767672	1.6964347726548354e-06		True	True
ADIG	0.0049053303903029335	0.92904789108189		False	False
ADIPOQ	0.16307064637613572	0.002881971722797868		True	True
ADIPOR1	0.5015558405771192	1.493811189303886e-22		True	True
ADM	0.09213498676794615	0.0937353961260949		False	False
ADORA2B	0.2075350536415306	0.0001396677468142868		True	True
ADORA3	0.09595540083740066	0.08084103651434127		False	False
ADPGK	0.2602780458414569	1.5266124447147249e-06		True	True
ADPRH	0.20993332475738605	0.00011631238873703991		True	True
ADPRHL1	0.07947355066895478	0.14848548431196731		False	False
ADPRHL2	0.47313162397050135	6.362921149124537e-20		True	True
ADRA1A	0.043211832328343684	0.4325977639221724		False	False
ADRA1B	0.07199932776337938	0.19065590854382153		False	False
ADRA2A	0.11366040459716223	0.038462429833424225		False	False
ADRA2B	0.1785817611235382	0.0010832941822298266		True	True
ADRA2C	0.09858390541520543	0.07283208663880321		False	False
ADRB1	0.057761106339781515	0.29401046827761834		False	False
ADRB2	0.17697816105864783	0.0012031556934151417		True	True
ADRB3	0.07207184980229553	0.1902084179159413		False	False
ADRM1	0.38955464684612656	1.782200872544192e-13		True	True
ADSL	0.34568014793556096	9.446965352066378e-11		True	True
ADSSL1	0.24224870849499164	8.044354920099913e-06		True	True
AEBP1	0.026788279887815698	0.6267175865834597		False	False
AEBP2	0.33930925748159446	2.1740829363749253e-10		True	True
AES	0.43676996037656934	6.741729455624201e-17		True	True
AFAP1L2	0.19259420671252908	0.00041698594976100615		True	True
AFF4	0.10810537392964317	0.04905470732618744		False	False
AFG3L2	0.3286773775131405	8.380439923037019e-10		True	True
AGA	0.09350253243819501	0.08894301236103434		False	False
AGAP2	0.06695882519322038	0.2236756209778637		False	False
AGAP4	0.2678124498260665	7.340865570200727e-07		True	True
AGAP5	0.20014638571601773	0.00024227425957261113		True	True
AGBL5	0.3822400773450934	5.422644389970353e-13		True	True
AGGF1	0.30839913615486747	9.547286836507962e-09		True	True
AGPAT5	0.33235426251904726	5.286213343280134e-10		True	True
AGR2	0.12619742985007776	0.021450686420134438		True	True
AGRP	0.07515977456533957	0.17186229643553586		False	False
AGT	0.02725082485568275	0.6207746063666086		False	False
AGTR1	0.10236081591006571	0.062467253648396726		False	False
AGTR2	0.00819071014320368	0.8818049952841476		False	False
AGTRAP	0.2649725372265329	9.69953503350672e-07		True	True
AHCYL1	0.2504786276763777	3.826518260605868e-06		True	True
AHI1	0.06458263154237326	0.24057980813608315		False	False
AHSA1	0.2704877727709836	5.62960222671349e-07		True	True
AHSA2	0.0871191650801108	0.11309964882086108		False	False
AHSG	0.14212269976429442	0.009514078942791198		True	True
AHSP	0.10252490932110693	0.06204600014608622		False	False
AICDA	0.033578865746051116	0.5420602790400717		False	False
AIDA	0.533310433246552	8.525949695719253e-26		True	True
AIF1L	-0.12533384752133078	0.022366130931270475		True	False
AIFM1	0.014630806774588053	0.7905513305546437		False	False
AIM2	0.014604383897946814	0.790920841835425		False	False
AIMP1	0.14599592258670685	0.007711890215707009		True	True
AIPL1	0.08468285888020936	0.1235742821215488		False	False
AJAP1	-0.04133871499666307	0.4528288157195135		False	False
AK1	0.23662757371870322	1.316553588693061e-05		True	True
AK5	-0.12937147584965217	0.018359413506624508		True	False
AK7	0.18771783912978893	0.0005858234104286831		True	True
AKAP1	0.22051196875485524	5.061640822383376e-05		True	True
AKAP14	0.08944710589437996	0.10375420160668947		False	False
AKAP2	0.0166515106170735	0.7624374029965758		False	False
AKAP3	0.02710458778514457	0.6226508866975446		False	False
AKAP4	0.06045960261392942	0.2719964076808209		False	False
AKAP5	0.16785499700442075	0.0021497095195283557		True	True
AKIRIN2	0.3362051325517941	3.241057417163162e-10		True	True
AKNA	0.29062060351021507	6.9595174765963e-08		True	True
AKR1B1	0.1547646023714042	0.004708062471965888		True	True
AKR1B10	0.11110272121513265	0.04307109633438989		False	False
AKR1B15	0.09784776688225925	0.07500701459097481		False	False
AKR1C1	0.09407366459619512	0.0870006378687879		False	False
AKR1C2	0.08882096103837352	0.1062056264095981		False	False
AKR1C3	0.11066601661384137	0.04390267610035343		False	False
AKR1D1	0.07036268552882234	0.20096072631869769		False	False
AKR7A2	0.3162668443168579	3.795596230086744e-09		True	True
AKR7A3	0.08330624546462016	0.12981767319824378		False	False
AKR7L	0.144779794719483	0.008241857844456317		True	True
AKT1	0.3506794920126673	4.846763977860396e-11		True	True
AKTIP	0.3872823314166405	2.5256401911723783e-13		True	True
ALAS2	0.021004938878628306	0.7029607846887269		False	False
ALDH16A1	0.24839971310132258	4.627891541700402e-06		True	True
ALDH1B1	0.22841961356601428	2.645805352047706e-05		True	True
ALDH1L2	0.09641694388034047	0.07938536233520259		False	False
ALDH3A1	0.173659565309533	0.0014908303769742063		True	True
ALDH4A1	0.15783279809500697	0.003937873800502815		True	True
ALDH5A1	0.22829068835283706	2.674433901549377e-05		True	True
ALDH6A1	0.15326780855786545	0.005130976692060935		True	True
ALDH7A1	0.12382554916304225	0.02404623411266156		True	True
ALDH8A1	0.21108394131247038	0.00010645821905962529		True	True
ALDH9A1	0.4770469379548871	2.8567126261452326e-20		True	True
ALDOB	0.191391187287911	0.00045381745282101833		True	True
ALG11	0.25500431344146945	2.514893039281895e-06		True	True
ALG13	0.151250353430028	0.0057550237860469165		True	True
ALG14	0.04640991776622326	0.3992878164116024		False	False
ALG1L	-0.018721796655297763	0.733954003816907		False	False
ALG2	0.5018030132199283	1.4136372940125155e-22		True	True
ALG3	0.5333510740128594	8.440518543618838e-26		True	True
ALG5	0.2813814719339012	1.8542365308165296e-07		True	True
ALG6	0.16051875044385228	0.0033591989393322546		True	True
ALG8	0.17003516336500987	0.001876110071230248		True	True
ALG9	0.26330568955885003	1.1405758990958797e-06		True	True
ALKBH2	0.12708504434809786	0.020543788818357344		True	True
ALKBH3	0.2888287730297399	8.439503149685235e-08		True	True
ALKBH6	0.23207159230098984	1.9455558122938242e-05		True	True
ALKBH7	0.395139517127306	7.478586397765001e-14		True	True
ALOX12	0.07487389888293182	0.17350325282123535		False	False
ALOX12B	-0.030291941263208316	0.5823262645960645		False	False
ALOX12P2	-0.055944305357450035	0.3094840313535511		False	False
ALOX15	0.07220075048570314	0.1894149494976686		False	False
ALOX15B	-0.06242628278575553	0.2566781321294584		False	False
ALOX5	0.12630958133002043	0.021334215877995777		True	True
ALOX5AP	0.10602293205912953	0.05360849652392385		False	False
ALOXE3	-0.12312901210065524	0.02485818444648402		True	False
ALPI	0.030201749242628983	0.583450468761866		False	False
ALS2CL	0.19378774567300683	0.00038320725851027855		True	True
ALX1	0.07227859633100504	0.18893693479287826		False	False
ALX3	0.23291313789229146	1.8112166950480284e-05		True	True
AMBN	0.015829174754075633	0.7738432039187961		False	False
AMBP	0.10027462890091808	0.06803100174832466		False	False
AMD1	0.17296907067725917	0.0015581032237321558		True	True
AMDHD2	0.2878932686956218	9.32836373025754e-08		True	True
AMELX	0.03872133824163743	0.48196906610902845		False	False
AMFR	0.34027739064874096	1.917769918058849e-10		True	True
AMICA1	0.05397351300313594	0.32686409520678517		False	False
AMIGO1	0.14145457065168812	0.00986022554430851		True	True
AMIGO2	-0.043245944627444514	0.4322342215564384		False	False
AMIGO3	0.23850384389754797	1.1184164968497553e-05		True	True
AMMECR1L	0.32859766721819766	8.464002320399614e-10		True	True
AMOT	0.061541437267909345	0.2634947036158168		False	False
AMOTL1	0.19370974724110393	0.00038533451905437623		True	True
AMPD1	0.04123311102333209	0.4539850369997249		False	False
AMPD3	0.1856364374711082	0.0006756038941407393		True	True
AMT	-0.0021400359373100627	0.9690129403445473		False	False
AMTN	0.08854802455679919	0.10728840852109302		False	False
AMY1A	0.1713481220943586	0.0017271000434951344		True	True
AMY2A	0.1510840543899987	0.005809385180517734		True	True
AMY2B	0.14468586273709855	0.008284110693167776		True	True
AMZ1	0.26482111796771307	9.84381640012114e-07		True	True
AMZ2	0.4005923960920373	3.15260136514141e-14		True	True
AMZ2P1	0.1545068339562237	0.004778576777435798		True	True
ANAPC10	0.2961490824253379	3.8066387882253854e-08		True	True
ANAPC13	0.059342285989017814	0.28097120071130816		False	False
ANAPC16	0.36085651381547246	1.2007340398476448e-11		True	True
ANAPC7	0.2652094316616023	9.477865277390273e-07		True	True
ANGEL1	0.25954101598406076	1.6379894720055715e-06		True	True
ANGEL2	0.5837856104374698	1.025252631091506e-31		True	True
ANGPTL1	0.09893151125687233	0.07182308847147971		False	False
ANGPTL3	-0.08120372511547524	0.1398201519814875		False	False
ANGPTL5	0.018007208423466186	0.7437465670496126		False	False
ANGPTL6	0.21289253257310403	9.253943986710836e-05		True	True
ANGPTL7	-0.04556792337738895	0.4079052585141836		False	False
ANKAR	0.04051329066539887	0.46191009801816585		False	False
ANKH	0.1587264136282806	0.0037360459209715012		True	True
ANKK1	0.0643994141311138	0.24191944997987705		False	False
ANKLE1	0.29281980698830185	5.4828757152979735e-08		True	True
ANKMY1	0.1263513450942491	0.02129098405716062		True	True
ANKRA2	0.3301009826813559	7.016166571857645e-10		True	True
ANKRD1	0.2265266947483957	3.096800693788295e-05		True	True
ANKRD10	0.29821629791369564	3.0277892483485864e-08		True	True
ANKRD13C	0.04885417694148517	0.3748969089710825		False	False
ANKRD16	0.39968732375180926	3.6426269674790626e-14		True	True
ANKRD17	0.22226966196642503	4.390706525884041e-05		True	True
ANKRD23	0.06470391866556857	0.23969585261165255		False	False
ANKRD30A	-0.016614226321771904	0.7629534471480159		False	False
ANKRD33	0.18616310946250023	0.0006517550268993471		True	True
ANKRD34B	-0.05577123223743552	0.31098552675724617		False	False
ANKRD34C	0.059536791299691895	0.27939462684980537		False	False
ANKRD36BP1	0.10032573621403569	0.06789000887684686		False	False
ANKRD37	0.27396146006064187	3.9714397383401377e-07		True	True
ANKRD39	0.0977626291294607	0.07526192598613828		False	False
ANKRD40	0.30018170293773966	2.4315154662538407e-08		True	True
ANKRD42	0.20416818468985456	0.0001799490109029903		True	True
ANKRD45	0.06425456833887959	0.24298221945498502		False	False
ANKRD49	0.20907646550170342	0.00012420024291845712		True	True
ANKRD50	0.25609253513577124	2.2707658449311104e-06		True	True
ANKRD53	0.18059839294481886	0.0009481768330725977		True	True
ANKRD54	0.358205575655729	1.7353452837140742e-11		True	True
ANKRD6	0.24973604122027956	4.096229223008267e-06		True	True
ANKRD7	0.08019191285857973	0.1448393652119392		False	False
ANKRD9	0.20781696182445972	0.00013671031524715803		True	True
ANKS4B	0.11354767004117867	0.03865639786734711		False	False
ANKS6	0.216487835550015	6.97956459666977e-05		True	True
ANKZF1	0.20793990586435188	0.0001354390171625921		True	True
ANLN	0.20301634575538793	0.00019606303373994222		True	True
ANO4	-0.00872121647148575	0.8742111105132812		False	False
ANO6	0.12724249716474198	0.02038643982862675		True	True
ANO7	0.19521853690389387	0.00034607240878458024		True	True
ANO8	0.16300069847893145	0.00289418522621688		True	True
ANP32C	0.011420783695032473	0.835761136837875		False	False
ANP32D	0.03702635025744335	0.501368367539104		False	False
ANPEP	0.05387971813038112	0.3277066912667497		False	False
ANTXR1	0.03374178784981092	0.5401009661296199		False	False
ANTXR2	0.09766972661582218	0.07554088872255438		False	False
ANTXRL	0.021668736691378383	0.6940386534296924		False	False
ANXA1	0.34074926678969747	1.8037416436234328e-10		True	True
ANXA13	-0.05513498643702451	0.3165463289537996		False	False
ANXA2P1	0.28498139766435676	1.2710454275961296e-07		True	True
ANXA2P2	0.04235455649458541	0.4417916329477707		False	False
ANXA2P3	-0.019187059028535822	0.7276011122339355		False	False
ANXA3	0.20402809395653188	0.00018184043752824538		True	True
ANXA5	0.18449106827324635	0.0007302823215663116		True	True
ANXA7	0.48457375329471386	5.951157581084646e-21		True	True
ANXA8	0.08489229539291254	0.1226452200246556		False	False
ANXA8L1	-0.006293086422334361	0.9090521809173391		False	False
ANXA9	0.23841496548223878	1.1271248920189775e-05		True	True
AOC2	0.25308439705135694	3.0079541962928592e-06		True	True
AOC3	0.12393712472906238	0.023918321437837085		True	True
AOX1	0.01531095645851274	0.7810561139117113		False	False
AP1AR	0.2016841072188482	0.0002163811085988792		True	True
AP1G1	0.5385865151654559	2.2801711992892503e-26		True	True
AP1M1	0.3360372822963735	3.3113777186164576e-10		True	True
AP1S1	0.288947850063109	8.332398714917918e-08		True	True
AP1S2	0.031487671602026195	0.5675180681190388		False	False
AP1S3	0.12168822798538799	0.026612972087953164		True	True
AP2A1	0.2820009037589194	1.7382408627155927e-07		True	True
AP3B2	-0.09038473587619136	0.10016722586603083		False	False
AP3D1	0.4169791572673226	2.1334170138431296e-15		True	True
AP3M1	0.34270685016751046	1.3971797906503856e-10		True	True
AP3M2	0.40539202919815054	1.4545149850996447e-14		True	True
AP4B1	0.029036478253504673	0.5980647437907066		False	False
AP4E1	0.36264823010104286	9.343450779216217e-12		True	True
AP4M1	0.3150819381536369	4.368808800216919e-09		True	True
AP4S1	0.2938894068333298	4.8788576111875984e-08		True	True
APBA1	0.02743302202150797	0.6184403762811779		False	False
APBB1	0.1996733539381041	0.00025080392639761684		True	True
APBB2	0.021764854702893365	0.6927501841081846		False	False
APBB3	0.11056460699795255	0.04409770068604333		False	False
APC2	0.1660354685373919	0.002405412730042665		True	True
APCDD1	-0.0043469692056926955	0.9371064446514545		False	False
APCDD1L	0.15672875208490425	0.004200814676238797		True	True
APCS	-0.0380032480910239	0.4901377079311815		False	False
APEH	0.33884287697334825	2.3091569751709958e-10		True	True
APEX1	0.24137855555878354	8.688625342767005e-06		True	True
APEX2	0.0754885472713787	0.16998943254757404		False	False
APITD1	0.30386951398506573	1.6040910523995617e-08		True	True
APLF	0.24012398167681157	9.704492457402348e-06		True	True
APLN	0.02856285469259426	0.6040516289038302		False	False
APLNR	-0.02770783644273522	0.6149268193545119		False	False
APLP1	0.26979804247847367	6.029962834687327e-07		True	True
APLP2	0.2531903758193145	2.9784861616045694e-06		True	True
APOA1	0.18192674069206036	0.0008678561372479969		True	True
APOA2	0.07318053033834507	0.18346300627063664		False	False
APOA4	-0.007877514021582124	0.8862933416755128		False	False
APOA5	0.01662262820028238	0.7628371493380622		False	False
APOB	0.08691670382263106	0.11394267115506966		False	False
APOBEC1	0.09971769134725667	0.06958305261694034		False	False
APOBEC2	0.17895238559092194	0.0010572036038107527		True	True
APOBEC3D	0.29403092090548666	4.803921723703416e-08		True	True
APOBEC3F	0.3053919990922496	1.348692559141585e-08		True	True
APOBEC3H	0.11246746748339838	0.04055727033925907		False	False
APOBEC4	-0.10148198848683321	0.0647635985280438		False	False
APOC1P1	0.1786339250764166	0.001079586532107616		True	True
APOC2	0.06546110452451677	0.2342289168015232		False	False
APOC3	0.03452451637548207	0.5307372743051305		False	False
APOC4	0.15784032486032115	0.003936133461853225		True	True
APOF	0.002176174650802552	0.968489931565217		False	False
APOH	-0.08152251920417947	0.13826665793559392		False	False
APOL6	0.3052473597460528	1.3711555466258593e-08		True	True
APOLD1	0.05482036814792161	0.31931995138215136		False	False
APOOL	0.12062324678077883	0.02797757491134109		True	True
APPBP2	0.3152072951524085	4.304407972997092e-09		True	True
APPL1	0.18976345399635772	0.0005084741254685803		True	True
APPL2	0.15977827733656164	0.0035104994024609754		True	True
AQP1	0.04506795199764215	0.41307403592520586		False	False
AQP10	-0.021181646109734203	0.7005816144351042		False	False
AQP11	0.16856607473684654	0.0020567112486998126		True	True
AQP2	0.08184282300460753	0.13671917542328424		False	False
AQP3	0.07110500953146258	0.19623776618865302		False	False
AQP5	0.0662614456712085	0.22854663724644556		False	False
AQP6	0.14147497478488072	0.009849491337224231		True	True
AQP7	0.1279829631370968	0.01966041546577102		True	True
AQP8	0.20604300964783534	0.00015634511563170894		True	True
AQP9	0.04462517847460843	0.41768357702186554		False	False
AQR	0.4625999155542579	5.215662891500575e-19		True	True
AR	0.0327068356108591	0.5526069984324267		False	False
ARAF	0.15507211000239318	0.004625169033251954		True	True
ARAP3	0.15004720061522434	0.006158838766603064		True	True
ARC	0.24296422875142729	7.548898301718269e-06		True	True
AREG	0.015145865900650549	0.7833579317741072		False	False
ARF1	0.49164999783555435	1.3140055243663766e-21		True	True
ARF5	0.3381772534729698	2.516161381078846e-10		True	True
ARF6	0.36496378730105294	6.740752460323255e-12		True	True
ARFGAP2	0.3515479310627218	4.311019065835474e-11		True	True
ARFGEF1	0.29622459620292274	3.7750601149212226e-08		True	True
ARFIP2	0.23007790186503316	2.302500314882031e-05		True	True
ARG1	0.12372540206744888	0.024161547350332158		True	True
ARG2	0.05734121871831025	0.29753990229809074		False	False
ARGFX	0.05446253446022971	0.3224937370733457		False	False
ARGFXP2	0.16596113761630624	0.002416424918884392		True	True
ARGLU1	0.25906518862948835	1.7139802453839455e-06		True	True
ARHGAP19	0.2505705067343456	3.7943501957033837e-06		True	True
ARHGAP20	0.09823562125818984	0.07385460521281625		False	False
ARHGAP24	-0.05017278755766115	0.3621279428422495		False	False
ARHGAP27	0.19061754151697374	0.00047907639649057105		True	True
ARHGAP30	-0.06089944417732399	0.26851758449288193		False	False
ARHGAP32	0.182256914801095	0.0008488906988127204		True	True
ARHGAP36	0.04705839595970388	0.39272586671928655		False	False
ARHGAP4	-0.00023302357528498597	0.99662505582807		False	False
ARHGAP9	0.12189235513089619	0.026358057222449428		True	True
ARHGDIA	0.3269214719933835	1.0420746241386514e-09		True	True
ARHGDIB	0.07120066424385103	0.19563511023915178		False	False
ARHGEF1	0.12426995989606246	0.023540235847027878		True	True
ARHGEF15	0.07415453075827591	0.17768402278682913		False	False
ARHGEF16	0.2092988290029792	0.0001221063821167356		True	True
ARHGEF18	0.5032928446130462	1.0127910072474987e-22		True	True
ARHGEF37	0.10855775459208578	0.04810942146586699		False	False
ARHGEF4	0.19914629756834737	0.0002606375879569763		True	True
ARHGEF6	0.01746564435937507	0.751195721427242		False	False
ARID3B	0.2629175344456567	1.1842495928779237e-06		True	True
ARID5A	0.22857741553904873	2.6111593547043774e-05		True	True
ARL10	0.06274339154786117	0.2542651565697658		False	False
ARL11	0.0921449333740301	0.0936998097726561		False	False
ARL14	0.1274560576628229	0.02017469302004047		True	True
ARL16	0.3393638994968309	2.158769443037522e-10		True	True
ARL4C	0.3918541950006484	1.248920249497438e-13		True	True
ARL4D	0.1876466232670231	0.0005887030883229067		True	True
ARL5B	0.3335928315670344	4.5199347336543246e-10		True	True
ARL5C	0.023963223042144946	0.6635287568843209		False	False
ARL6	0.027522201711114656	0.6172992389220537		False	False
ARL6IP4	0.30069059982405855	2.2966691338434887e-08		True	True
ARL6IP5	0.17561368799491897	0.001314621381344153		True	True
ARMC1	0.33943472526934504	2.1390764377923387e-10		True	True
ARMC3	0.21163318812138607	0.00010203599893204279		True	True
ARMC7	0.3501702790832357	5.190491858139677e-11		True	True
ARMCX1	0.02582262641712201	0.6392024102827056		False	False
ARMCX2	0.18021145867809524	0.0009728311070169018		True	True
ARMCX3	0.16382515488490199	0.002753173792146794		True	True
ARMCX5	0.2851495722773812	1.2486559806757526e-07		True	True
ARMCX6	0.0526466116444927	0.3389144808911694		False	False
ARMS2	0.001964719051031217	0.9715503557490596		False	False
ARNTL2	0.28970193208032263	7.683940518083047e-08		True	True
ARPC1A	0.5266186812480497	4.394318620261853e-25		True	True
ARPC1B	0.2835523143532464	1.4775551028713473e-07		True	True
ARPC3	0.20023640053709207	0.00024068211677786115		True	True
ARPC4	0.4304261439535698	2.0913943229138096e-16		True	True
ARPC5	0.4947231935360832	6.743991290948088e-22		True	True
ARPC5L	0.2957279059489122	3.987500027024926e-08		True	True
