filename	barcode(s)
unc.edu.0584b467-a0f7-45fd-9948-9a01318d34bd.1744813.bt.exon_quantification.txt	TCGA-A8-A08G-01A-11R-A00Z-07
unc.edu.05918561-a713-464b-9b5c-4f7c9258a827.1138297.junction_quantification.txt	TCGA-E2-A10F-01A-11R-A10J-07
unc.edu.05918561-a713-464b-9b5c-4f7c9258a827.1141748.rsem.genes.results	TCGA-E2-A10F-01A-11R-A10J-07
unc.edu.05918561-a713-464b-9b5c-4f7c9258a827.1141749.rsem.isoforms.results	TCGA-E2-A10F-01A-11R-A10J-07
unc.edu.05918561-a713-464b-9b5c-4f7c9258a827.1142117.rsem.isoforms.normalized_results	TCGA-E2-A10F-01A-11R-A10J-07
unc.edu.05918561-a713-464b-9b5c-4f7c9258a827.1142130.rsem.genes.normalized_results	TCGA-E2-A10F-01A-11R-A10J-07
unc.edu.05918561-a713-464b-9b5c-4f7c9258a827.1768046.bt.exon_quantification.txt	TCGA-E2-A10F-01A-11R-A10J-07
unc.edu.059c8834-efd5-447c-97c6-49fd68c09c0d.1137473.junction_quantification.txt	TCGA-BH-A0B0-01A-21R-A115-07
unc.edu.059c8834-efd5-447c-97c6-49fd68c09c0d.1140716.rsem.genes.results	TCGA-BH-A0B0-01A-21R-A115-07
unc.edu.059c8834-efd5-447c-97c6-49fd68c09c0d.1140717.rsem.isoforms.results	TCGA-BH-A0B0-01A-21R-A115-07
unc.edu.059c8834-efd5-447c-97c6-49fd68c09c0d.1141466.rsem.genes.normalized_results	TCGA-BH-A0B0-01A-21R-A115-07
unc.edu.059c8834-efd5-447c-97c6-49fd68c09c0d.1141469.rsem.isoforms.normalized_results	TCGA-BH-A0B0-01A-21R-A115-07
unc.edu.059c8834-efd5-447c-97c6-49fd68c09c0d.1767639.bt.exon_quantification.txt	TCGA-BH-A0B0-01A-21R-A115-07
unc.edu.05aa0960-505b-4b04-be9f-7b54940f5b27.1150086.junction_quantification.txt	TCGA-A2-A0SU-01A-11R-A084-07
unc.edu.05aa0960-505b-4b04-be9f-7b54940f5b27.1153371.rsem.genes.results	TCGA-A2-A0SU-01A-11R-A084-07
unc.edu.05aa0960-505b-4b04-be9f-7b54940f5b27.1153372.rsem.isoforms.results	TCGA-A2-A0SU-01A-11R-A084-07
unc.edu.05aa0960-505b-4b04-be9f-7b54940f5b27.1153406.rsem.genes.normalized_results	TCGA-A2-A0SU-01A-11R-A084-07
unc.edu.05aa0960-505b-4b04-be9f-7b54940f5b27.1153409.rsem.isoforms.normalized_results	TCGA-A2-A0SU-01A-11R-A084-07
unc.edu.05aa0960-505b-4b04-be9f-7b54940f5b27.1770529.bt.exon_quantification.txt	TCGA-A2-A0SU-01A-11R-A084-07
unc.edu.08236177-a046-4cfe-a11c-a24292a1f777.1131637.junction_quantification.txt	TCGA-BH-A18P-11A-43R-A12D-07
unc.edu.08236177-a046-4cfe-a11c-a24292a1f777.1134035.rsem.genes.results	TCGA-BH-A18P-11A-43R-A12D-07
unc.edu.08236177-a046-4cfe-a11c-a24292a1f777.1134036.rsem.isoforms.results	TCGA-BH-A18P-11A-43R-A12D-07
unc.edu.08236177-a046-4cfe-a11c-a24292a1f777.1134069.rsem.genes.normalized_results	TCGA-BH-A18P-11A-43R-A12D-07
unc.edu.08236177-a046-4cfe-a11c-a24292a1f777.1134072.rsem.isoforms.normalized_results	TCGA-BH-A18P-11A-43R-A12D-07
unc.edu.08236177-a046-4cfe-a11c-a24292a1f777.1766881.bt.exon_quantification.txt	TCGA-BH-A18P-11A-43R-A12D-07
unc.edu.08c54c9c-195c-4754-83af-a97544d0eb12.1176187.junction_quantification.txt	TCGA-A2-A04X-01A-21R-A034-07
unc.edu.08c54c9c-195c-4754-83af-a97544d0eb12.1180544.rsem.genes.results	TCGA-A2-A04X-01A-21R-A034-07
unc.edu.08c54c9c-195c-4754-83af-a97544d0eb12.1180545.rsem.isoforms.results	TCGA-A2-A04X-01A-21R-A034-07
unc.edu.08c54c9c-195c-4754-83af-a97544d0eb12.1180682.rsem.isoforms.normalized_results	TCGA-A2-A04X-01A-21R-A034-07
unc.edu.08c54c9c-195c-4754-83af-a97544d0eb12.1180691.rsem.genes.normalized_results	TCGA-A2-A04X-01A-21R-A034-07
unc.edu.08c54c9c-195c-4754-83af-a97544d0eb12.1771038.bt.exon_quantification.txt	TCGA-A2-A04X-01A-21R-A034-07
unc.edu.08d85849-cda7-4709-a934-fdc586418d7f.1147682.junction_quantification.txt	TCGA-AR-A0TX-01A-11R-A084-07
unc.edu.08d85849-cda7-4709-a934-fdc586418d7f.1150822.rsem.genes.results	TCGA-AR-A0TX-01A-11R-A084-07
unc.edu.08d85849-cda7-4709-a934-fdc586418d7f.1150823.rsem.isoforms.results	TCGA-AR-A0TX-01A-11R-A084-07
unc.edu.08d85849-cda7-4709-a934-fdc586418d7f.1150900.rsem.isoforms.normalized_results	TCGA-AR-A0TX-01A-11R-A084-07
unc.edu.08d85849-cda7-4709-a934-fdc586418d7f.1150908.rsem.genes.normalized_results	TCGA-AR-A0TX-01A-11R-A084-07
unc.edu.08d85849-cda7-4709-a934-fdc586418d7f.1769807.bt.exon_quantification.txt	TCGA-AR-A0TX-01A-11R-A084-07
unc.edu.094076d0-97e4-460d-b48c-7ee2371db99d.1118598.junction_quantification.txt	TCGA-C8-A1HG-01A-11R-A137-07
unc.edu.094076d0-97e4-460d-b48c-7ee2371db99d.1119963.rsem.genes.results	TCGA-C8-A1HG-01A-11R-A137-07
unc.edu.094076d0-97e4-460d-b48c-7ee2371db99d.1119964.rsem.isoforms.results	TCGA-C8-A1HG-01A-11R-A137-07
unc.edu.094076d0-97e4-460d-b48c-7ee2371db99d.1119993.rsem.isoforms.normalized_results	TCGA-C8-A1HG-01A-11R-A137-07
unc.edu.094076d0-97e4-460d-b48c-7ee2371db99d.1119998.rsem.genes.normalized_results	TCGA-C8-A1HG-01A-11R-A137-07
unc.edu.094076d0-97e4-460d-b48c-7ee2371db99d.1765574.bt.exon_quantification.txt	TCGA-C8-A1HG-01A-11R-A137-07
unc.edu.09787ddc-336f-4a53-a687-339d90457085.1149325.junction_quantification.txt	TCGA-A2-A0T4-01A-31R-A084-07
unc.edu.09787ddc-336f-4a53-a687-339d90457085.1153448.rsem.genes.results	TCGA-A2-A0T4-01A-31R-A084-07
unc.edu.09787ddc-336f-4a53-a687-339d90457085.1153449.rsem.isoforms.results	TCGA-A2-A0T4-01A-31R-A084-07
unc.edu.09787ddc-336f-4a53-a687-339d90457085.1153495.rsem.genes.normalized_results	TCGA-A2-A0T4-01A-31R-A084-07
unc.edu.09787ddc-336f-4a53-a687-339d90457085.1153496.rsem.isoforms.normalized_results	TCGA-A2-A0T4-01A-31R-A084-07
unc.edu.09787ddc-336f-4a53-a687-339d90457085.1770518.bt.exon_quantification.txt	TCGA-A2-A0T4-01A-31R-A084-07
unc.edu.09d1b9e5-a828-4e12-8a66-2a90c18d2f3e.1673798.junction_quantification.txt	TCGA-A8-A099-01A-11R-A00Z-07
unc.edu.09d1b9e5-a828-4e12-8a66-2a90c18d2f3e.1674670.rsem.genes.results	TCGA-A8-A099-01A-11R-A00Z-07
unc.edu.09d1b9e5-a828-4e12-8a66-2a90c18d2f3e.1674671.rsem.isoforms.results	TCGA-A8-A099-01A-11R-A00Z-07
unc.edu.09d1b9e5-a828-4e12-8a66-2a90c18d2f3e.1674690.rsem.genes.normalized_results	TCGA-A8-A099-01A-11R-A00Z-07
unc.edu.09d1b9e5-a828-4e12-8a66-2a90c18d2f3e.1674691.rsem.isoforms.normalized_results	TCGA-A8-A099-01A-11R-A00Z-07
unc.edu.09d1b9e5-a828-4e12-8a66-2a90c18d2f3e.1748781.bt.exon_quantification.txt	TCGA-A8-A099-01A-11R-A00Z-07
unc.edu.0a5a7511-4e7b-4fe4-b323-c354acffab57.1137332.junction_quantification.txt	TCGA-C8-A12L-01A-11R-A115-07
unc.edu.0a5a7511-4e7b-4fe4-b323-c354acffab57.1142210.rsem.genes.results	TCGA-C8-A12L-01A-11R-A115-07
unc.edu.0a5a7511-4e7b-4fe4-b323-c354acffab57.1142211.rsem.isoforms.results	TCGA-C8-A12L-01A-11R-A115-07
unc.edu.0a5a7511-4e7b-4fe4-b323-c354acffab57.1142271.rsem.isoforms.normalized_results	TCGA-C8-A12L-01A-11R-A115-07
unc.edu.0a5a7511-4e7b-4fe4-b323-c354acffab57.1142274.rsem.genes.normalized_results	TCGA-C8-A12L-01A-11R-A115-07
unc.edu.0a5a7511-4e7b-4fe4-b323-c354acffab57.1767634.bt.exon_quantification.txt	TCGA-C8-A12L-01A-11R-A115-07
unc.edu.0b225e38-d4c8-4cb5-a668-316894ab858f.1155443.junction_quantification.txt	TCGA-A7-A0CH-01A-21R-A00Z-07
unc.edu.0b225e38-d4c8-4cb5-a668-316894ab858f.1157068.rsem.genes.results	TCGA-A7-A0CH-01A-21R-A00Z-07
unc.edu.0b225e38-d4c8-4cb5-a668-316894ab858f.1157069.rsem.isoforms.results	TCGA-A7-A0CH-01A-21R-A00Z-07
unc.edu.0b225e38-d4c8-4cb5-a668-316894ab858f.1157305.rsem.genes.normalized_results	TCGA-A7-A0CH-01A-21R-A00Z-07
unc.edu.0b225e38-d4c8-4cb5-a668-316894ab858f.1157308.rsem.isoforms.normalized_results	TCGA-A7-A0CH-01A-21R-A00Z-07
unc.edu.0b225e38-d4c8-4cb5-a668-316894ab858f.1771044.bt.exon_quantification.txt	TCGA-A7-A0CH-01A-21R-A00Z-07
unc.edu.0b3c65ed-ff55-45c9-b6a3-dd3a596a0271.1153447.junction_quantification.txt	TCGA-A8-A08L-01A-11R-A00Z-07
unc.edu.0b3c65ed-ff55-45c9-b6a3-dd3a596a0271.1157092.rsem.genes.results	TCGA-A8-A08L-01A-11R-A00Z-07
unc.edu.0b3c65ed-ff55-45c9-b6a3-dd3a596a0271.1157093.rsem.isoforms.results	TCGA-A8-A08L-01A-11R-A00Z-07
unc.edu.0b3c65ed-ff55-45c9-b6a3-dd3a596a0271.1157319.rsem.genes.normalized_results	TCGA-A8-A08L-01A-11R-A00Z-07
unc.edu.0b3c65ed-ff55-45c9-b6a3-dd3a596a0271.1157325.rsem.isoforms.normalized_results	TCGA-A8-A08L-01A-11R-A00Z-07
unc.edu.0b3c65ed-ff55-45c9-b6a3-dd3a596a0271.1770608.bt.exon_quantification.txt	TCGA-A8-A08L-01A-11R-A00Z-07
unc.edu.0b743ba9-a340-46a0-9276-a5ddd3ee69d6.1111202.junction_quantification.txt	TCGA-A8-A07O-01A-11R-A00Z-07
unc.edu.0b743ba9-a340-46a0-9276-a5ddd3ee69d6.1114383.rsem.genes.results	TCGA-A8-A07O-01A-11R-A00Z-07
unc.edu.0b743ba9-a340-46a0-9276-a5ddd3ee69d6.1114384.rsem.isoforms.results	TCGA-A8-A07O-01A-11R-A00Z-07
unc.edu.0b743ba9-a340-46a0-9276-a5ddd3ee69d6.1114431.rsem.genes.normalized_results	TCGA-A8-A07O-01A-11R-A00Z-07
unc.edu.0b743ba9-a340-46a0-9276-a5ddd3ee69d6.1114432.rsem.isoforms.normalized_results	TCGA-A8-A07O-01A-11R-A00Z-07
unc.edu.0b743ba9-a340-46a0-9276-a5ddd3ee69d6.1762892.bt.exon_quantification.txt	TCGA-A8-A07O-01A-11R-A00Z-07
unc.edu.0b937a20-66d4-4d05-bf50-4828cead9c92.1126719.junction_quantification.txt	TCGA-BH-A18L-11A-42R-A12D-07
unc.edu.0b937a20-66d4-4d05-bf50-4828cead9c92.1129427.rsem.genes.results	TCGA-BH-A18L-11A-42R-A12D-07
unc.edu.0b937a20-66d4-4d05-bf50-4828cead9c92.1129428.rsem.isoforms.results	TCGA-BH-A18L-11A-42R-A12D-07
unc.edu.0b937a20-66d4-4d05-bf50-4828cead9c92.1130713.rsem.genes.normalized_results	TCGA-BH-A18L-11A-42R-A12D-07
unc.edu.0b937a20-66d4-4d05-bf50-4828cead9c92.1130731.rsem.isoforms.normalized_results	TCGA-BH-A18L-11A-42R-A12D-07
unc.edu.0b937a20-66d4-4d05-bf50-4828cead9c92.1766475.bt.exon_quantification.txt	TCGA-BH-A18L-11A-42R-A12D-07
unc.edu.0bef9bfc-43d3-4ac9-a60f-9b65623f7e37.1148951.junction_quantification.txt	TCGA-AO-A0JD-01A-11R-A056-07
unc.edu.0bef9bfc-43d3-4ac9-a60f-9b65623f7e37.1152232.rsem.genes.results	TCGA-AO-A0JD-01A-11R-A056-07
unc.edu.0bef9bfc-43d3-4ac9-a60f-9b65623f7e37.1152233.rsem.isoforms.results	TCGA-AO-A0JD-01A-11R-A056-07
unc.edu.0bef9bfc-43d3-4ac9-a60f-9b65623f7e37.1152283.rsem.genes.normalized_results	TCGA-AO-A0JD-01A-11R-A056-07
unc.edu.0bef9bfc-43d3-4ac9-a60f-9b65623f7e37.1152286.rsem.isoforms.normalized_results	TCGA-AO-A0JD-01A-11R-A056-07
unc.edu.0bef9bfc-43d3-4ac9-a60f-9b65623f7e37.1770246.bt.exon_quantification.txt	TCGA-AO-A0JD-01A-11R-A056-07
unc.edu.0c74bde4-0411-4cfd-9c60-d8eaf8a09629.1155562.junction_quantification.txt	TCGA-A7-A0DB-01A-11R-A00Z-07
unc.edu.0c74bde4-0411-4cfd-9c60-d8eaf8a09629.1157490.rsem.genes.results	TCGA-A7-A0DB-01A-11R-A00Z-07
unc.edu.0c74bde4-0411-4cfd-9c60-d8eaf8a09629.1157491.rsem.isoforms.results	TCGA-A7-A0DB-01A-11R-A00Z-07
unc.edu.0c74bde4-0411-4cfd-9c60-d8eaf8a09629.1158364.rsem.isoforms.normalized_results	TCGA-A7-A0DB-01A-11R-A00Z-07
unc.edu.0c74bde4-0411-4cfd-9c60-d8eaf8a09629.1158375.rsem.genes.normalized_results	TCGA-A7-A0DB-01A-11R-A00Z-07
unc.edu.0c74bde4-0411-4cfd-9c60-d8eaf8a09629.1771013.bt.exon_quantification.txt	TCGA-A7-A0DB-01A-11R-A00Z-07
unc.edu.0c9fe532-3920-4a59-b348-65b184c0eff4.1156323.junction_quantification.txt	TCGA-A8-A07B-01A-11R-A00Z-07
unc.edu.0c9fe532-3920-4a59-b348-65b184c0eff4.1157500.rsem.genes.results	TCGA-A8-A07B-01A-11R-A00Z-07
unc.edu.0c9fe532-3920-4a59-b348-65b184c0eff4.1157501.rsem.isoforms.results	TCGA-A8-A07B-01A-11R-A00Z-07
unc.edu.0c9fe532-3920-4a59-b348-65b184c0eff4.1158397.rsem.isoforms.normalized_results	TCGA-A8-A07B-01A-11R-A00Z-07
unc.edu.0c9fe532-3920-4a59-b348-65b184c0eff4.1158401.rsem.genes.normalized_results	TCGA-A8-A07B-01A-11R-A00Z-07
unc.edu.0c9fe532-3920-4a59-b348-65b184c0eff4.1771314.bt.exon_quantification.txt	TCGA-A8-A07B-01A-11R-A00Z-07
unc.edu.0cde4246-2dcb-478b-ace9-df557f71e4cd.1138158.junction_quantification.txt	TCGA-AN-A0XL-01A-11R-A10J-07
unc.edu.0cde4246-2dcb-478b-ace9-df557f71e4cd.1141658.rsem.genes.results	TCGA-AN-A0XL-01A-11R-A10J-07
unc.edu.0cde4246-2dcb-478b-ace9-df557f71e4cd.1141659.rsem.isoforms.results	TCGA-AN-A0XL-01A-11R-A10J-07
unc.edu.0cde4246-2dcb-478b-ace9-df557f71e4cd.1142069.rsem.genes.normalized_results	TCGA-AN-A0XL-01A-11R-A10J-07
unc.edu.0cde4246-2dcb-478b-ace9-df557f71e4cd.1142082.rsem.isoforms.normalized_results	TCGA-AN-A0XL-01A-11R-A10J-07
unc.edu.0cde4246-2dcb-478b-ace9-df557f71e4cd.1767670.bt.exon_quantification.txt	TCGA-AN-A0XL-01A-11R-A10J-07
unc.edu.0def3ef8-7608-483c-b899-4d459f6d2e2d.1137630.junction_quantification.txt	TCGA-BH-A0W3-01A-11R-A109-07
unc.edu.0def3ef8-7608-483c-b899-4d459f6d2e2d.1140194.rsem.genes.results	TCGA-BH-A0W3-01A-11R-A109-07
unc.edu.0def3ef8-7608-483c-b899-4d459f6d2e2d.1140195.rsem.isoforms.results	TCGA-BH-A0W3-01A-11R-A109-07
unc.edu.0def3ef8-7608-483c-b899-4d459f6d2e2d.1140692.rsem.isoforms.normalized_results	TCGA-BH-A0W3-01A-11R-A109-07
unc.edu.0def3ef8-7608-483c-b899-4d459f6d2e2d.1140703.rsem.genes.normalized_results	TCGA-BH-A0W3-01A-11R-A109-07
unc.edu.0def3ef8-7608-483c-b899-4d459f6d2e2d.1767644.bt.exon_quantification.txt	TCGA-BH-A0W3-01A-11R-A109-07
unc.edu.0e2a3a2c-173a-43b8-bd7d-0c09dfa8a2ae.1177525.junction_quantification.txt	TCGA-A8-A06Q-01A-11R-A034-07
unc.edu.0e2a3a2c-173a-43b8-bd7d-0c09dfa8a2ae.1182121.rsem.genes.results	TCGA-A8-A06Q-01A-11R-A034-07
unc.edu.0e2a3a2c-173a-43b8-bd7d-0c09dfa8a2ae.1182122.rsem.isoforms.results	TCGA-A8-A06Q-01A-11R-A034-07
unc.edu.0e2a3a2c-173a-43b8-bd7d-0c09dfa8a2ae.1182553.rsem.genes.normalized_results	TCGA-A8-A06Q-01A-11R-A034-07
unc.edu.0e2a3a2c-173a-43b8-bd7d-0c09dfa8a2ae.1182557.rsem.isoforms.normalized_results	TCGA-A8-A06Q-01A-11R-A034-07
unc.edu.0e2a3a2c-173a-43b8-bd7d-0c09dfa8a2ae.1771068.bt.exon_quantification.txt	TCGA-A8-A06Q-01A-11R-A034-07
unc.edu.0e6447b4-6e63-4420-bfa8-5b1d711d90fc.1157127.junction_quantification.txt	TCGA-AO-A03T-01A-21R-A034-07
unc.edu.0e6447b4-6e63-4420-bfa8-5b1d711d90fc.1161325.rsem.genes.results	TCGA-AO-A03T-01A-21R-A034-07
unc.edu.0e6447b4-6e63-4420-bfa8-5b1d711d90fc.1161326.rsem.isoforms.results	TCGA-AO-A03T-01A-21R-A034-07
unc.edu.0e6447b4-6e63-4420-bfa8-5b1d711d90fc.1161377.rsem.isoforms.normalized_results	TCGA-AO-A03T-01A-21R-A034-07
unc.edu.0e6447b4-6e63-4420-bfa8-5b1d711d90fc.1161388.rsem.genes.normalized_results	TCGA-AO-A03T-01A-21R-A034-07
unc.edu.0e6447b4-6e63-4420-bfa8-5b1d711d90fc.1771063.bt.exon_quantification.txt	TCGA-AO-A03T-01A-21R-A034-07
